Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
502558,"Discrete Structures, Logic, and Computability (Jones & Bartlett Computer Science)",James L. Hein,"Hein, James L.",,"=""0763718432""","=""9780763718435""",0,Jones & Bartlett Learning,Hardcover,943,2001,1995,2022/10/07,2022/09/08,,,read,,,,1,0
58536046,Why Has Nobody Told Me This Before?,Julie      Smith,"Smith, Julie",,"=""0063227932""","=""9780063227934""",0,HarperOne,Hardcover,368,2022,2022,2022/10/07,2022/10/03,,,read,,,,1,0
32998876,101 Essays That Will Change The Way You Think,Brianna Wiest,"Wiest, Brianna",,"=""""","=""""",0,Thought Catalog Books,Kindle Edition,450,2016,2016,2022/10/04,2022/10/04,,,read,,,,1,0
61865476,Codependent No More: How to Stop Controlling Others and Start Caring for Yourself,Melody Beattie,"Beattie, Melody",,"=""195411821X""","=""9781954118218""",0,Spiegel & Grau,Paperback,305,2022,1986,,2022/10/03,to-read,to-read (#262),to-read,,,,0,0
58502657,Us: Getting Past You and Me to Build a More Loving Relationship (Goop Press),Terrence Real,"Real, Terrence",Bruce Springsteen,"=""0593233670""","=""9780593233672""",0,Rodale Books,Hardcover,352,2022,2022,,2022/10/01,to-read,to-read (#261),to-read,,,,0,0
36722037,"Getting Back to Happy: Change Your Thoughts, Change Your Reality, and Turn Your Trials into Triumphs",Marc Chernoff,"Chernoff, Marc","Marc Chernoff, Angel Chernoff","=""0143132776""","=""9780143132776""",0,TarcherPerigee,Hardcover,272,2018,2018,2022/09/27,2022/09/07,,,read,,,,1,0
15704926,Love Yourself Like Your Life Depends on It,Kamal Ravikant,"Ravikant, Kamal",,"=""1478121734""","=""9781478121732""",0,CreateSpace,Paperback,59,2012,2012,2022/09/26,2022/09/26,,,read,,,,1,0
389763,Change Your Thoughts - Change Your Life,Wayne W. Dyer,"Dyer, Wayne W.",,"=""1401911846""","=""9781401911843""",0,Hay House Inc.,Hardcover,392,2007,,,2022/09/26,to-read,to-read (#260),to-read,,,,0,0
321982,What to Say When You Talk to Yourself,Shad Helmstetter,"Helmstetter, Shad",,"=""0722525117""","=""9780722525111""",0,Thorsons,Paperback,256,1991,1986,2022/09/26,2022/09/26,,,read,,,,1,0
31134574,Python for Everybody: Exploring Data in Python 3,Charles Severance,"Severance, Charles","Aimee Andrion, Elliott Hauser, Sue Blumenberg","=""""","=""""",0,,Kindle Edition,387,2016,,2022/09/26,2022/08/22,,,read,,,,1,0
29579318,Behind the Fireplace: Memoirs of a girl working in the Dutch Wartime Resistance,Andrew Scott,"Scott, Andrew",Grietje Scott,"=""1523356995""","=""9781523356997""",0,CreateSpace Independent Publishing Platform,Paperback,296,2016,2016,,2022/05/20,to-read,to-read (#212),to-read,,,,0,0
16248196,The Art of Thinking Clearly,Rolf Dobelli,"Dobelli, Rolf",,"=""0062219685""","=""9780062219688""",0,Harper,Hardcover,384,2013,2011,,2022/09/21,to-read,to-read (#259),to-read,,,,0,0
155981,Psycho-Cybernetics: A New Way to Get More Living Out of Life,Maxwell Maltz,"Maltz, Maxwell",,"=""0671700758""","=""9780671700751""",5.0,Pocket,Mass Market Paperback,288,1989,1960,2022/09/19,2022/09/18,,,read,"While I cannot say I am convinced in all of this - the book is a little light on citing the studies - this book does drive home what I have learned in my reading journey this year: it starts with how you choose to talk to yourself and interpret the world around you. Think the best. When it's not the best, brush yourself off, grieve if necessary, and get back in the arena. ",,,1,0
36452377,"Calm Your Mind: Break The Cycle Of Anxiety, Stress, Unhappiness, Exhaustion, And Find Peace In A Rushed World (Mental Discipline Book 5)",Steven Schuster,"Schuster, Steven",,"=""""","=""""",0,Steven Schuster Books,Kindle Edition,113,2017,,,2022/09/18,to-read,to-read (#258),to-read,,,,0,0
734530,Kumon Train Your Brain-60 Days to a Better Brain,Ryuta Kawashima,"Kawashima, Ryuta",,"=""1933241152""","=""9781933241159""",0,Kumon Pub North America Ltd,Paperback,172,2005,2003,,2022/09/18,to-read,to-read (#257),to-read,,,,0,0
49397758,Grown,Tiffany D. Jackson,"Jackson, Tiffany D.",,"=""0062840355""","=""9780062840356""",0,Quill Tree Books,Hardcover,384,2020,2020,,2022/09/18,to-read,to-read (#256),to-read,,,,0,0
54351235,"Arsenic and Adobo (Tita Rosie's Kitchen Mystery, #1)",Mia P. Manansala,"Manansala, Mia P.",,"=""059320168X""","=""9780593201688""",0,Berkley,Kindle Edition,336,2021,2021,,2022/09/18,to-read,to-read (#255),to-read,,,,0,0
46000520,"The Thursday Murder Club (Thursday Murder Club, #1)",Richard Osman,"Osman, Richard",,"=""""","=""""",0,Penguin Books,Kindle Edition,382,2020,2020,,2022/09/18,to-read,to-read (#254),to-read,,,,0,0
34964916,"Death by Dumpling (Noodle Shop Mystery, #1)",Vivien Chien,"Chien, Vivien",,"=""125012915X""","=""9781250129154""",0,St. Martin's Paperbacks,Mass Market Paperback,328,2018,2018,,2022/09/18,to-read,to-read (#253),to-read,,,,0,0
52706058,"The Honjin Murders (Detective Kosuke Kindaichi, #1)",Seishi Yokomizo,"Yokomizo, Seishi",Louise Heal Kawai,"=""1782275002""","=""9781782275008""",0,Pushkin Vertigo,Paperback,189,2019,1946,,2022/09/18,to-read,to-read (#252),to-read,,,,0,0
30255243,"Murder in G Major (Gethsemane Brown Mysteries, #1)",Alexia Gordon,"Gordon, Alexia",,"=""1635110572""","=""9781635110579""",0,Henery Press,Paperback,271,2016,2016,,2022/09/18,to-read,to-read (#251),to-read,,,,0,0
119073,The Name of the Rose,Umberto Eco,"Eco, Umberto",William Weaver,"=""0156001314""","=""9780156001311""",0,Houghton Mifflin Harcourt,Paperback,552,1994,1980,,2013/08/17,to-read,to-read (#250),to-read,,,,1,0
17331349,Think Like a Freak,Steven D. Levitt,"Levitt, Steven D.",Stephen J. Dubner,"=""0062218360""","=""9780062218360""",0,William Morrow,Kindle Edition,293,2014,2014,,2022/09/18,to-read,to-read (#249),to-read,,,,0,0
