Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
62873996,"The Five-Star Weekend (Sommer in Nantucket, #1)",Elin Hilderbrand,"Hilderbrand, Elin",,"=""0316258776""","=""9780316258777""",0,"Little, Brown and Company",Hardcover,384,2023,2023,,2026/07/20,"currently-reading, fun","currently-reading (#5), fun (#52)",currently-reading,,,,1,0
209455935,Mishka,Edward van de Vendel,"Vendel, Edward van de","Anoush Elman, Nancy Forest-Flier, Annet Schaap","=""1646144589""","=""9781646144587""",0,Levine Querido,Hardcover,160,2024,2022,2026/07/18,2026/07/16,fun,fun (#51),read,,,,1,0
44870,The Works of Alexander Pope,Alexander Pope,"Pope, Alexander",Andrew Crozier,"=""1853264318""","=""9781853264313""",0,Wordsworth Editions Ltd,Paperback,432,1998,1777,2026/07/16,2026/07/04,fun,fun (#49),read,,,,1,0
50398,Northanger Abbey,Jane Austen,"Austen, Jane",Alfred Mac Adam,"=""1593082649""","=""9781593082642""",0,Barnes & Noble Classics,Paperback,260,2005,1817,,2026/07/13,"currently-reading, fun","currently-reading (#4), fun (#50)",currently-reading,,,,1,0
59616977,Building a Second Brain: A Proven Method to Organize Your Digital Life and Unlock Your Creative Potential,Tiago Forte,"Forte, Tiago",,"=""1982167386""","=""9781982167387""",0,Simon Element / Simon Acumen,Hardcover,272,2022,2022,2024/09/08,2023/01/19,career,career (#16),read,,,,2,0
34854973,The LSAT Trainer: A Remarkable Self-Study Guide For The Self-Driven Student,Mike  Kim,"Kim, Mike",,"=""0989081532""","=""9780989081535""",0,Artisanal Publishing,Paperback,598,2017,2013,,2026/07/04,"currently-reading, law-school","currently-reading (#3), law-school (#8)",currently-reading,,,,1,0
865508,Verbal Judo: The Gentle Art of Persuasion,George J. Thompson,"Thompson, George J.",Jerry B. Jenkins,"=""0060577657""","=""9780060577650""",0,Harper,Paperback,222,2004,1993,,2026/07/04,to-read,to-read (#569),to-read,,,,0,0
43264830,The School of Life: An Emotional Education,Alain de Botton,"Botton, Alain de",,"=""0241382327""","=""9780241382325""",0,Hamish Hamilton,Paperback,310,2019,2019,2026/07/04,2026/06/23,fun,fun (#48),read,,,,1,0
26072459,Cengage Learning Introduction To The Theory Of Computation,Michael Sipser,"Sipser, Michael",,"=""8131525295""","=""""",0,Cengage Learning,Paperback,480,2014,1996,2026/07/04,2023/12/10,school,school (#77),read,,,,1,0
1848954,Weather Studies: Introduction to Atmospheric Science,Joseph M. Moran,"Moran, Joseph M.",,"=""1878220748""","=""9781878220745""",0,AMS Online,Hardcover,516,2006,2006,2026/07/04,2026/06/23,school,school (#78),read,,,,1,0
43317610,The Loophole in LSAT Logical Reasoning: A Splendidly Comprehensive LSAT Study Guide to Master LSAT Self-Study,Ellen Cassidy,"Cassidy, Ellen",,"=""1732749000""","=""9781732749009""",0,Elemental Prep,Paperback,462,2018,,,2026/06/23,"to-read, law-school","to-read (#568), law-school (#7)",to-read,,,,0,0
130119,An Enquiry Concerning Human Understanding,David Hume,"Hume, David",,"=""1420926993""","=""9781420926996""",0,Digireads.Com,Paperback,96,2006,1748,,2026/06/19,"law-school, currently-reading","law-school (#3), currently-reading (#2)",currently-reading,,,,1,0
40779082,The Guns of August,Barbara W. Tuchman,"Tuchman, Barbara W.",,"=""""","=""""",0,Random House,Kindle Edition,710,2009,1962,,2026/06/19,"to-read, school, law-school","to-read (#567), school (#76), law-school (#6)",to-read,,,,0,0
174713,The Lessons of History,Will Durant,"Durant, Will",Ariel Durant,"=""1567310249""","=""9781567310245""",0,Fine Communications,Hardcover,119,1997,1968,,2026/06/19,"to-read, law-school","to-read (#566), law-school (#5)",to-read,,,,0,0
25698,An Inquiry into the Nature and Causes of the Wealth of Nations,Adam Smith,"Smith, Adam","George J. Stigler, Edwin Cannan","=""0226763749""","=""9780226763743""",0,University Of Chicago Press,Paperback,1076,1977,1776,2025/10/30,2013/08/17,"school, to-read, law-school","school (#66), to-read (#565), law-school (#4)",to-read,,,,1,0
50746034,Princeton Review LSAT Premium Prep,The Princeton Review,"Review, The Princeton",,"=""0525569227""","=""9780525569220""",0,Princeton Review,Paperback,432,2019,,,2026/06/19,"to-read, law-school","to-read (#564), law-school (#2)",to-read,,,,0,0
6452731,Justice: What's the Right Thing to Do?,Michael J. Sandel,"Sandel, Michael J.",,"=""0374180652""","=""9780374180652""",0,"Farrar, Straus and Giroux",Hardcover,308,2009,2009,,2026/06/19,"to-read, law-school","to-read (#563), law-school (#1)",to-read,,,,0,0
49247130,"Ninth House (Alex Stern, #1)",Leigh Bardugo,"Bardugo, Leigh",,"=""1250751365""","=""9781250751362""",0,Flatiron Books,Paperback,458,2020,2019,,2026/06/07,to-read,to-read (#562),to-read,,,,0,0
137439722,"You Can Heal Your Life Paperback - Illustrated,1 Jan 1984",Louise L. Hay,"Hay, Louise L.",,"=""""","=""""",0,Generic,Paperback,0,,1984,2026/06/06,2026/04/30,trauma,trauma (#23),read,,,,1,0
227900048,Deep Resilience: A four-step journey to unshakable inner strength,Melli O'Brien,"O'Brien, Melli",,"=""""","=""""",0,Rethink Press,Kindle Edition,334,2025,,2026/06/06,2026/05/12,trauma,trauma (#25),read,,,,1,0
123696,"Turn On, Tune In, Drop Out",Timothy Leary,"Leary, Timothy",,"=""1579510094""","=""9781579510091""",0,Ronin Publishing,Paperback,151,1999,1999,2026/06/06,2026/05/25,fun,fun (#47),read,,,,1,0
249623413,Black Forest Shadow: A Dark Fantasy Guide to Docker and Kubernetes Security,Mohammad-Ali A'râbi,"A'râbi, Mohammad-Ali",,"=""3982829852""","=""9783982829852""",0,Okterakt Verlag,Paperback,143,2026,,2026/06/06,2026/05/30,career,career (#30),read,,,,1,0
121920,Third Culture Kids: Growing Up Among Worlds,David C. Pollock,"Pollock, David C.",Ruth E. Van Reken,"=""1857882954""","=""9781857882957""",0,UNKNO,Paperback,360,2001,1999,,2026/05/30,to-read,to-read (#561),to-read,,,,0,0
242196088,Docker and Kubernetes Security: Implementing Supply Chain Security and Runtime Security for Containers from Development to Production,Mohammad-Ali A'râbi,"A'râbi, Mohammad-Ali","Vladimir Mikhalev, Hamida Rebai Trabelsi, Liran Tal","=""""","=""9798313845814""",0,Independently published,Paperback,294,2025,,,2026/05/30,to-read,to-read (#560),to-read,,,,0,0
229864174,The Adventure of the Reigate Squire: A Sherlock Holmes Adventure,Arthur Conan Doyle,"Doyle, Arthur Conan",,"=""""","=""""",0,Bookstream Audiobooks,Audible Audio,,2022,,2026/05/25,2026/05/18,fun,fun (#46),read,,,,1,0
29981,The Island of Dr. Moreau,H.G. Wells,"Wells, H.G.",Alan Lightman,"=""0553214322""","=""9780553214321""",0,Bantam Classic & Loveswept,Unknown Binding,160,1999,1896,2026/05/18,2026/05/17,fun,fun (#45),read,,,,1,0
204927599,Nexus: A Brief History of Information Networks from the Stone Age to AI,Yuval Noah Harari,"Harari, Yuval Noah",,"=""059373422X""","=""9780593734223""",0,Random House,Hardcover,528,2024,2024,2026/05/14,2026/02/25,fun,fun (#40),read,,,,1,0
26046333,Designing Your Life: Build a Life that Works for You,Bill Burnett,"Burnett, Bill",Dave      Evans,"=""1784740241""","=""9781784740245""",0,Chatto & Windus,Paperback,240,2013,2016,2026/05/14,2025/03/26,"career, fun","career (#22), fun (#13)",read,,,,1,0
386887,If Only It Were True,Marc Levy,"Levy, Marc",Jeremy Leggatt,"=""0743406176""","=""9780743406178""",0,Atria,Hardcover,216,2000,2000,2026/05/14,2026/05/14,fun,fun (#44),read,,,,1,0
181350367,"How to Solve Your Own Murder (Castle Knoll Files, #1)",Kristen Perrin,"Perrin, Kristen",,"=""0593474015""","=""9780593474013""",0,Dutton,Hardcover,358,2024,2024,,2026/05/14,to-read,to-read (#559),to-read,,,,0,0
230027496,Shamanic Power Animals: Embracing the Teachings of Our Non-Human Friends,Don José Ruiz,"Ruiz, Don José",,"=""""","=""""",0,Hierophant Publishing,Audible Audio,,2021,,2026/05/06,2026/05/06,,,read,,,,1,0
208994218,"My Good Friend the Rattlesnake: Lessons of Loss, Truth, and Transformation (Shamanic Wisdom Series)",Don José Ruiz,"Ruiz, Don José",Tami Hudman,"=""1950253503""","=""9781950253500""",0,Hierophant Publishing,Kindle Edition,184,2025,,2026/05/03,2026/05/03,,,read,,,,1,0
58460667,Fresh Banana Leaves: Healing Indigenous Landscapes Through Indigenous Science,Jessica   Hernandez,"Hernandez, Jessica",,"=""1623176050""","=""9781623176051""",0,North Atlantic Books,Paperback,256,2022,2022,,2026/05/02,to-read,to-read (#558),to-read,,,,0,0
143895417,"The Mindful Path: Combining Psychotherapy and Buddhist Practices: A Practical Guide for Anxiety, Depression, and Stress",Michael        Jones,"Jones, Michael",,"=""""","=""9798988244004""",0,,Kindle Edition,242,2023,,,2026/05/02,"to-read, trauma","to-read (#557), trauma (#24)",to-read,,,,0,0
7629,The Good Soldier Švejk,Jaroslav Hašek,"Hašek, Jaroslav","Josef Lada, Cecil Parrott","=""""","=""""",0,Penguin Classics,Paperback,752,2005,1921,,2026/05/02,to-read,to-read (#556),to-read,,,,0,0
58340788,The Regenerative Garden: 80 Practical Projects for Creating a Self-sustaining Garden Ecosystem,Stephanie     Rose,"Rose, Stephanie",,"=""0760371687""","=""9780760371688""",0,Cool Springs Press,Paperback,176,2022,,2026/04/25,2026/04/20,school,school (#74),read,,,,1,0
134417336,All About Love: New Visions,bell hooks,"hooks, bell",,"=""""","=""""",0,WilliamMorrow,Paperback,268,,1999,2026/04/25,2023/12/10,fun,fun (#43),read,,,,1,0
8108093,"A Vast Machine: Computer Models, Climate Data, and the Politics of Global Warming",Paul N. Edwards,"Edwards, Paul N.",,"=""0262013924""","=""9780262013925""",0,The MIT Press,Hardcover,518,2010,2010,2026/04/24,2026/04/24,school,school (#75),read,,,,1,0
182484307,The Fellowship of Puzzlemakers,Samuel Burr,"Burr, Samuel",,"=""0593470095""","=""9780593470091""",0,Doubleday,Hardcover,362,2024,2024,,2026/04/20,currently-reading,currently-reading (#1),currently-reading,,,,1,0
25744928,Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,"Newport, Cal",,"=""1455586692""","=""9781455586691""",0,Grand Central Publishing,Hardcover,296,2016,2016,2026/04/20,2026/01/23,career,career (#27),read,,,,1,0
59410869,Mr. President (Penguin Classics),Miguel Ángel Asturias,"Asturias, Miguel Ángel","David Unger, Mario Vargas Llosa, Gerald Martin","=""0143136380""","=""9780143136385""",0,Penguin Classics,Paperback,282,2022,1946,2026/04/20,2026/04/09,,,read,,,,1,0
35711,A General Theory of Love (Vintage),Thomas Lewis,"Lewis, Thomas","Fari Amini, Richard Lannon","=""0375709223""","=""9780375709227""",0,Vintage,Paperback,274,2001,2000,2026/04/20,2026/04/20,fun,fun (#42),read,,,,1,0
23848190,Extreme Ownership: How U.S. Navy SEALs Lead and Win,Jocko Willink,"Willink, Jocko",Leif Babin,"=""1250067057""","=""9781250067050""",4.0,St. Martin's Press,Hardcover,320,2015,2015,2026/04/16,2026/04/09,career,career (#29),read,"Usually I struggle with long 'self-improvement' books, especially when it's for my career. I feel like it can be written more succinctly. That said, I did enjoy how the book was intertwined with stories of war and conflict. Of course, I do not enjoy war, but the comparisons helped drive the ideas home. ",,,1,0
53152636,Mexican Gothic,Silvia Moreno-Garcia,"Moreno-Garcia, Silvia",,"=""0525620788""","=""9780525620785""",4.0,Del Rey,Hardcover,320,2020,2020,2026/04/09,2026/04/09,fun,fun (#41),read,"This book was much better than expected. It was fun but it also touched well on parts of Mexican culture that should be appreciated and celebrated. I do wish a little difference for the ending; however, overall, it was a fun read. ",,,1,0
17245,Dracula,Bram Stoker,"Stoker, Bram","Rubén Toledo, Nina Auerbach, David J. Skal","=""0393970124""","=""9780393970128""",0,Norton,Paperback,488,1986,1897,2026/04/09,2026/01/02,fun,fun (#35),read,,,,1,0
39330937,The Laws of Human Nature,Robert Greene,"Greene, Robert",,"=""0698184548""","=""9780698184541""",0,Penguin Books,Kindle Edition,624,2018,2018,2026/04/09,2026/02/20,,,read,,,,1,0
35738788,Concise Guide to Critical Thinking,Lewis Vaughn,"Vaughn, Lewis",,"=""0190692898""","=""9780190692896""",0,Oxford University Press,Paperback,352,2017,,2026/03/07,2026/01/23,school,school (#71),read,,,,1,0
720563,"Cognitive Psychology: Connecting Mind, Research and Everyday Experience",E. Bruce Goldstein,"Goldstein, E. Bruce",,"=""0495095575""","=""9780495095576""",0,Wadsworth Pub Co,Hardcover,552,2007,2010,2026/03/07,2026/02/21,school,school (#73),read,,,,1,0
1828545,Essentials of Meteorology: An Invitation to the Atmosphere (with CD-ROM),C. Donald Ahrens,"Ahrens, C. Donald",,"=""0534372007""","=""9780534372002""",0,Brooks Cole,Paperback,464,2000,1962,2026/02/25,2026/01/25,,,read,,,,1,0
505756,"Cognitive Psychology and its Implications, Sixth Edition",John R. Anderson,"Anderson, John R.",,"=""0716701103""","=""9780716701101""",0,Worth Publishers,Hardcover,608,2004,1980,2026/02/25,2026/01/25,school,school (#72),read,,,,1,0
9420697,"The Compound Effect: Jumpstart Your Income, Your Life, Your Success",Darren Hardy,"Hardy, Darren",,"=""""","=""""",0,SUCCESS Books,Kindle Edition,162,2010,2010,2026/02/20,2026/02/11,career,career (#28),read,,,,1,0
50130878,The Art of Solitude,Stephen Batchelor,"Batchelor, Stephen",,"=""0300250932""","=""9780300250930""",0,Yale University Press,Hardcover,200,2020,,2026/02/20,2026/02/13,trauma,trauma (#22),read,,,,1,0
231404078,The Other Side of Change: Who We Become When Life Makes Other Plans,Maya Shankar,"Shankar, Maya",,"=""0593713702""","=""9780593713709""",0,Riverhead Books,Kindle Edition,247,2026,2026,2026/02/11,2026/01/23,trauma,trauma (#21),read,,,,1,0
173284,An Essay on Man,Alexander Pope,"Pope, Alexander",Frank Brady,"=""0023134607""","=""9780023134609""",0,Pearson College Div,Paperback,80,1965,1734,2026/02/11,2026/01/31,fun,fun (#39),read,,,,1,0
18735908,The Pearl That Broke Its Shell,Nadia Hashimi,"Hashimi, Nadia",,"=""0062244760""","=""9780062244765""",0,William Morrow Paperbacks,Paperback,480,2015,2014,,2026/02/10,to-read,to-read (#555),to-read,,,,0,0
40398878,Guide to the Bodhisattva's Way of Life: How to Enjoy a Life of Great Meaning and Altruism,Śhāntideva,"Śhāntideva, Śhāntideva","Kelsang Gyatso, Kelsang Thubten","=""1910368741""","=""9781910368749""",0,Tharpa Publications US,Paperback,263,2018,700,,2023/08/19,to-read,to-read (#365),to-read,,,,0,0
902,The Westing Game,Ellen Raskin,"Raskin, Ellen",,"=""014240120X""","=""9780142401200""",0,Puffin,Paperback,182,2004,1978,2026/01/31,2026/01/29,fun,fun (#38),read,,,,1,0
52562817,An Introduction to Constitutional Law: 100 Supreme Court Cases Everyone Should Know,Randy E. Barnett,"Barnett, Randy E.",Josh Blackman,"=""1543813909""","=""9781543813906""",0,Aspen Publishers,Paperback,369,2019,,2026/01/24,2025/11/23,fun,fun (#32),read,,,,1,0
53016750,Eat to Beat Depression and Anxiety: How to Eat Your Way to Better Mental Health with Nutritional Psychiatry Techniques (Nourish Your Way to Better Mental Health in Six Weeks),Drew Ramsey,"Ramsey, Drew",,"=""0063031736""","=""9780063031739""",4.0,Harper,Kindle Edition,288,2021,,2023/08/16,2023/06/09,trauma,trauma (#20),read,,,,2,0
38125061,Advanced Physical Chemistry (Chemistry Lessons #3),Susannah Nix,"Nix, Susannah",,"=""""","=""""",0,Haver Street Press,Kindle Edition,276,2018,2018,,2026/01/19,to-read,to-read (#554),to-read,,,,0,0
204706,Physical Chemistry: A Molecular Approach,Donald A. McQuarrie,"McQuarrie, Donald A.",John D. Simon,"=""0935702997""","=""9780935702996""",0,University Science Books,Hardcover,1360,1997,1997,,2026/01/19,to-read,to-read (#553),to-read,,,,0,0
7632329,Operation Mincemeat: How a Dead Man and a Bizarre Plan Fooled the Nazis and Assured an Allied Victory,Ben Macintyre,"Macintyre, Ben",,"=""0747598681""","=""9780747598688""",0,Bloomsbury,Hardcover,416,2010,2010,2026/01/13,2026/01/02,fun,fun (#34),read,,,,1,0
18796,In Search of Lost Time,Marcel Proust,"Proust, Marcel","C.K. Scott Moncrieff, Terence Kilmartin, Andreas Mayor, D.J. Enright","=""0812969642""","=""9780812969641""",0,Modern Library,Paperback,4211,2003,1913,,2026/01/12,"to-read, fun","to-read (#552), fun (#37)",to-read,,,,0,0
57536,Second Nature: A Gardener's Education,Michael Pollan,"Pollan, Michael",,"=""0802140114""","=""9780802140111""",0,Grove Press,Paperback,258,2003,1991,,2026/01/05,"to-read, fun","to-read (#551), fun (#36)",to-read,,,,0,0
57933338,Violeta,Isabel Allende,"Allende, Isabel",Frances Riddle,"=""0593496205""","=""9780593496206""",0,Ballantine Books,Paperback,322,2022,2022,,2026/01/04,to-read,to-read (#550),to-read,,,,0,0
211003837,Penitence,Kristin Koval,"Koval, Kristin",,"=""1250342996""","=""9781250342997""",0,Celadon Books,Hardcover,320,2025,2025,,2026/01/01,"to-read, fun","to-read (#549), fun (#33)",to-read,,,,0,0
123029113,A Witch's Guide to Magical Innkeeping,Sangu Mandanna,"Mandanna, Sangu",,"=""""","=""9780593439388""",0,Berkley,ebook,352,2025,2025,2025/12/31,2025/11/02,fun,fun (#30),read,,,,1,0
228434087,"Regenerative Gardening: Simple, Sustainable Solutions for Healthier Food, Bigger Yields, Less Work and Happier Nature",Becky Mundt,"Mundt, Becky",,"=""""","=""""",0,,Kindle Edition,154,2025,,2025/12/31,2025/11/19,fun,fun (#31),read,,,,1,0
90991895,Build a Mathematical Mind - Even If You Think You Can't Have One: Become a Pattern Detective. Boost Your Critical and Logical Thinking Skills. (Advanced Thinking Skills Book 3),Albert Rutherford,"Rutherford, Albert",,"=""""","=""""",0,ARB Publications,Kindle Edition,154,2023,,2025/12/31,2025/09/12,school,school (#65),read,,,,1,0
4069,Man's Search for Meaning,Viktor E. Frankl,"Frankl, Viktor E.","Harold S. Kushner, William J. Winslade, Ilse Lasch","=""080701429X""","=""9780807014295""",0,Beacon Press,Paperback,165,2006,1946,2025/12/31,2023/04/16,,,read,,,,1,0
161254,"Moving Forward, Keeping Still: The Gateway to Eastern Wisdom (Ariel Quote-A-Page Books)",John Kane,"Kane, John",,"=""0836225937""","=""9780836225938""",0,Andrews McMeel Pub,Paperback,374,1997,1997,2025/12/29,2025/12/05,trauma,trauma (#19),read,,,,1,0
33514,The Elements of Style,William Strunk Jr.,"Jr., William Strunk",E.B. White,"=""""","=""""",0,Allyn & Bacon,Hardcover,105,1999,1918,2025/12/02,2025/11/30,,,read,,,,1,0
173404163,The 12-Week MBA: Learn the Skills You Need to Lead in Business Today,Bjorn Billhardt,"Billhardt, Bjorn",Nathan Kracklauer,"=""0306832364""","=""9780306832369""",0,Balance,Hardcover,352,2024,,2025/11/29,2025/03/23,career,career (#21),read,,,,1,0
29937413,How to Communicate Like a Buddhist,Cynthia Kane,"Kane, Cynthia",,"=""""","=""""",0,Hierophant Publishing,Kindle Edition,162,2016,2016,2025/11/29,2023/12/10,,,read,,,,1,0
9793361,The Decision Book: Fifty Models for Strategic Thinking,Mikael Krogerus,"Krogerus, Mikael",Roman Tschäppeler,"=""""","=""""",0,,Hardcover,174,2011,2011,2025/11/29,2025/11/19,career,career (#26),read,,,,1,0
9717,The Unbearable Lightness of Being,Milan Kundera,"Kundera, Milan",Michael Henry Heim,"=""0571224385""","=""9780571224388""",0,Harper Perennial,Paperback,314,2009,1984,,2025/11/21,to-read,to-read (#548),to-read,,,,0,0
50853153,The Rise and Fall of the Third Reich,William L. Shirer,"Shirer, William L.",,"=""0795316992""","=""9780795316999""",0,RosettaBooks LLC,Kindle Edition,1280,2011,1960,,2025/11/21,,,read,,,,1,0
43263237,The Future of Another Timeline,Annalee Newitz,"Newitz, Annalee",,"=""0765392100""","=""9780765392107""",0,Tor Books,Hardcover,352,2019,2019,,2025/11/21,to-read,to-read (#547),to-read,,,,0,0
7273142,The Living Soil (Soil Association Organic Classics),Lady Eve Balfour,"Balfour, Lady Eve",Eve Balfour,"=""190466508X""","=""9781904665083""",0,Soil Association Ltd,Paperback,296,2006,1975,,2025/11/19,to-read,to-read (#546),to-read,,,,0,0
119675808,The War against the Commons: Dispossession and Resistance in the Making of Capitalism,Ian Angus,"Angus, Ian",,"=""1685900186""","=""9781685900182""",0,Monthly Review Press,Kindle Edition,271,2023,,2025/11/15,2025/10/04,school,school (#69),read,,,,1,0
156599,Last Child in the Woods: Saving Our Children from Nature-Deficit Disorder,Richard Louv,"Louv, Richard",,"=""1565125223""","=""9781565125223""",0,Algonquin Books,Paperback,310,2007,2005,2025/11/15,2025/10/30,school,school (#70),read,,,,1,0
62247556,De maffe markies (Suske en Wiske) (Dutch Edition),Willy Vandersteen,"Vandersteen, Willy",,"=""""","=""""",0,Standaard Uitgeverij,Kindle Edition,0,2022,2022,2023/12/10,2023/12/10,,,read,,,,2,0
28186015,Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy,Cathy O'Neil,"O'Neil, Cathy",,"=""0553418815""","=""9780553418811""",0,Crown,Hardcover,259,2016,2016,,2023/04/19,,,read,,,,1,0
29885359,Facing the Anthropocene: Fossil Capitalism and the Crisis of the Earth System,Ian Angus,"Angus, Ian",,"=""1583676090""","=""9781583676097""",0,Monthly Review Press,Paperback,280,2016,2016,2025/09/28,2025/09/22,school,school (#68),read,,,,1,0
1753460,Principles of Economics,N. Gregory Mankiw,"Mankiw, N. Gregory",,"=""0324168624""","=""9780324168624""",0,South-Western College Pub,Hardcover,848,2003,1997,2025/09/28,2025/09/16,school,school (#67),read,,,,1,0
218569816,The Aeneid,Virgil,"Virgil, Virgil","Scott McGill, Susannah Wright, Emily Wilson","=""1324096438""","=""9781324096436""",0,Liveright,Hardcover,512,2025,-19,,2025/09/18,to-read,to-read (#545),to-read,,,,0,0
33974714,The Girlfriend,Michelle Frances,"Frances, Michelle",,"=""150982152X""","=""9781509821525""",0,Pan Macmillan,Paperback,464,2017,2017,2025/09/12,2025/09/10,fun,fun (#29),read,,,,1,0
20763843,Braiding Sweetgrass,Robin Wall Kimmerer,"Kimmerer, Robin Wall",,"=""1571313567""","=""9781571313560""",5.0,Milkweed Editions,Paperback,386,2015,2013,2025/09/12,2023/12/10,fun,fun (#26),read,,,,1,0
392931,Les Trois Mousquetaires (Chefs-D'vre Illustrés Aquila),Alexandre Dumas,"Dumas, Alexandre",,"=""2890540170""","=""9782890540170""",0,Marabout,Paperback,59,1950,,2025/09/07,2025/08/25,,,read,,,,1,0
56791389,"Dungeon Crawler Carl (Dungeon Crawler Carl, #1)",Matt Dinniman,"Dinniman, Matt",,"=""""","=""""",0,Dandy House,Kindle Edition,464,2020,2020,2025/09/07,2025/08/27,fun,fun (#27),read,,,,1,0
13564786,"Journey to the West, Volume I",Wu Cheng'en,"Cheng'en, Wu",W.J.F. Jenner,"=""""","=""""",0,Foreign Languages Press Co. Ltd,Hardcover,575,2011,1592,,2025/08/31,fun,fun (#28),read,,,,0,0
45484987,"CHANGES: The Busy Professional's Guide to Reducing Stress, Accomplishing Goals and Mastering Adaptability",Michael Diettrich-Chastain,"Diettrich-Chastain, Michael",,"=""1733939717""","=""9781733939713""",0,Arc Integrated Media,Kindle Edition,308,2019,,2025/08/31,2025/04/11,,,read,,,,1,0
1860020,La Tulipe noire,Alexandre Dumas,"Dumas, Alexandre",,"=""2268058824""","=""9782268058825""",0,Editions du Rocher,Mass Market Paperback,375,2006,1850,2025/08/27,2025/08/25,fun,fun (#25),read,,,,1,0
27036528,Ego Is the Enemy,Ryan Holiday,"Holiday, Ryan",,"=""1591847818""","=""9781591847816""",0,Portfolio,Hardcover,226,2016,2016,2025/08/25,2025/07/05,"fun, trauma","fun (#23), trauma (#18)",read,,,,1,0
221228030,The Wrong Sister,Claire Douglas,"Douglas, Claire",,"=""006335439X""","=""9780063354395""",0,Harper Perennial,Paperback,384,2025,2024,2025/08/25,2025/08/12,,,read,,,,1,0
1473,Medea and Other Plays,Euripides,"Euripides, Euripides","Richard Rutherford, John Davie","=""0140449299""","=""9780140449297""",0,Penguin Books,Paperback,256,2003,-428,2025/08/12,2025/08/08,fun,fun (#24),read,,,,1,0
198651987,"[An Introduction to the Policy Process] 5th Edition: [Theories, Concepts, and Models of Public Policy Making] by Thomas A. Birkland Paperback 2019",Dani Rosen,"Rosen, Dani",,"=""""","=""9798860229570""",0,Independently published,Paperback,445,2023,,2025/08/08,2025/07/30,school,school (#63),read,,,,1,0
15794077,Comparative Public Policy (Textbooks in Policy Studies),Anneliese Dodds,"Dodds, Anneliese",,"=""0230319432""","=""9780230319431""",0,Palgrave,Paperback,408,2013,2012,2025/08/08,2025/07/30,school,school (#64),read,,,,1,0
220161038,A Flower Traveled in My Blood,Haley Cohen Gilliland,"Gilliland, Haley Cohen",,"=""1668017148""","=""9781668017142""",0,Avid Reader Press / Simon & Schuster,Hardcover,512,2025,2025,,2025/07/30,to-read,to-read (#544),to-read,,,,0,0
36313494,"Python for Data Analysis: Data Wrangling with Pandas, NumPy, and IPython",Wes McKinney,"McKinney, Wes",,"=""1491957662""","=""""",0,O'Reilly Media,Kindle Edition,724,2017,2011,2025/07/30,2025/05/17,school,school (#52),read,,,,1,0
533070,Computer Science: An Overview (9th Edition),J. Glenn Brookshear,"Brookshear, J. Glenn",,"=""0321387015""","=""9780321387011""",0,Addison Wesley,Paperback,624,2006,,2025/07/30,2025/04/12,school,school (#44),read,,,,1,0
133595200,[( Algebra )] [by: I.M. Gelfand] [Sep-2002],Israel M. Gelfand,"Gelfand, Israel M.",,"=""""","=""""",0,,Paperback,0,,1992,2025/07/30,2025/05/29,fun,fun (#19),read,,,,1,0
12878487,American Indian Tribal Law (Aspen Elective Series),Matthew L.M. Fletcher,"Fletcher, Matthew L.M.",,"=""0735599750""","=""9780735599758""",0,Aspen Opco Llc,Paperback,823,2011,2011,2025/07/30,2025/07/08,school,school (#61),read,,,,1,0
683,Natural Capitalism: Creating the Next Industrial Revolution,Paul Hawken,"Hawken, Paul","L. Hunter Lovins, Amory B. Lovins","=""0316353000""","=""9780316353007""",0.0,US Green Building Council,Paperback,416,2000,1999,2025/07/30,2025/07/18,school,school (#62),read,"One of the best books to read if you care about the environment, Earth, and nature. I highly recommend. ",,,1,0
17802966,"The Climate Casino: Risk, Uncertainty, and Economics for a Warming World",William D. Nordhaus,"Nordhaus, William D.",,"=""030018977X""","=""9780300189773""",0,Yale University Press,Hardcover,392,2013,2013,,2025/07/24,to-read,to-read (#543),to-read,,,,0,0
32274680,Text Analytics with Python: A Practical Real-World Approach to Gaining Actionable Insights from your Data,Dipanjan Sarkar,"Sarkar, Dipanjan",,"=""148422387X""","=""9781484223871""",0,Apress,Paperback,385,2016,,2025/07/22,2025/05/18,school,school (#53),read,,,,1,0
18284945,Introduction to Business Management,B.J. Erasmus,"Erasmus, B.J.","S. Rudansky-Kloppers, J. Strydom, J.A. Badenhorst-Weiss, T. Brevis-Landsberg, M.C. Cant, L.P. Kruger, R. Machado, J. Marx","=""0199059829""","=""9780199059829""",0,Oxford University Press,Paperback,608,2013,2013,2025/07/22,2025/06/21,school,school (#59),read,,,,1,0
58733693,Remarkably Bright Creatures,Shelby Van Pelt,"Pelt, Shelby Van",,"=""0063204150""","=""9780063204157""",0,Ecco,Hardcover,360,2022,2022,2025/07/18,2025/06/12,fun,fun (#21),read,,,,1,0
